                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     91,                0.57546,                 0.4376,                0.94079,                0.99629,                      1,                  0.995,                0.86898,                0.74655,                0.57104,                 1.2068,              0.0097186,             0.00071859,             0.00071859,             1.6894e+09,                    223
                     92,                0.56333,                0.42964,                0.95186,                0.99642,                      1,                  0.995,                0.86484,                0.73504,                0.58065,                 1.2222,              0.0087225,             0.00072255,             0.00072255,             1.6894e+09,                    225
                     93,                0.65864,                0.47764,                 1.0047,                0.99642,                      1,                  0.995,                0.86484,                0.73504,                0.58065,                 1.2222,              0.0077264,             0.00072639,             0.00072639,             1.6894e+09,                    226
                     94,                0.59214,                0.45243,                0.98608,                0.99598,                      1,                  0.995,                0.87268,                0.72474,                 0.6067,                 1.2211,              0.0067301,             0.00073012,             0.00073012,             1.6894e+09,                    228
                     95,                0.63459,                0.47992,                 1.0612,                0.99598,                      1,                  0.995,                0.87268,                0.72474,                 0.6067,                 1.2211,              0.0057337,             0.00073373,             0.00073373,             1.6894e+09,                    230
                     96,                0.54731,                0.41274,                0.91712,                 0.9955,                      1,                  0.995,                0.87711,                 0.7114,                0.63434,                  1.235,              0.0047372,             0.00073722,             0.00073722,             1.6894e+09,                    231
                     97,                0.56769,                0.45559,                0.93496,                 0.9955,                      1,                  0.995,                0.87711,                 0.7114,                0.63434,                  1.235,              0.0037406,              0.0007406,              0.0007406,             1.6894e+09,                    233
                     98,                0.60793,                0.44076,                0.94365,                0.99556,                      1,                  0.995,                0.88675,                0.64403,                0.62235,                 1.2308,              0.0027439,             0.00074386,             0.00074386,             1.6894e+09,                    235
                     99,                0.54334,                0.43875,                0.96711,                0.99556,                      1,                  0.995,                0.88675,                0.64403,                0.62235,                 1.2308,               0.001747,               0.000747,               0.000747,             1.6894e+09,                    236
                    100,                0.71724,                 0.5187,                0.99697,                0.99637,                      1,                  0.995,                0.92284,                0.63542,                0.59397,                 1.1451,             0.00075002,             0.00075002,             0.00075002,             1.6894e+09,                    238
